name,ring,quadrant,isNew,description
Docker,我行引入,技术,FALSE,"<p>Docker 是一个开源的应用容器引擎，让开发者可以打包他们的应用以及依赖包到一个可移植的镜像中，然后发布到任何流行的 Linux或Windows操作系统的机器上，也可以实现虚拟化。容器是完全使用沙箱机制，相互之间不会有任何接口。<br />由于其基于LXC的轻量级虚拟化的特点，docker相比KVM之类最明显的特点就是启动快，资源占用小。因此对于构建隔离的标准化的运行环境，轻量级的PaaS(如dokku), 构建自动化测试和持续集成环境，以及一切可以横向扩展的应用(尤其是需要快速启停来应对峰谷的web应用)。<p>"
分布式数据库,我行引入,技术,FALSE,<p>分布式数据库继承了传统单机数据库的核心特性，同时还拥有分布式系统的处理能力，理论上所有需求都能通过横向扩展解决，这是在大数据高并发场景下诞生的一种产物。虽然起步较晚，可以预见的是它将是数据库下一个发展方向。</p>
Kubernetes,我行引入,技术,FALSE,"<p>Kubernetes是Google开源的一个容器编排引擎，它支持自动化部署、大规模可伸缩、应用容器化管理。在生产环境中部署一个应用程序时，通常要部署该应用的多个实例以便对应用请求进行负载均衡。</p>
<p>在Kubernetes中，我们可以创建多个容器，每个容器里面运行一个应用实例，然后通过内置的负载均衡策略，实现对这一组应用实例的管理、发现、访问，而这些细节都不需要运维人员去进行复杂的手工配置和处理。</p>
<strong>特点</strong> <br /> - 可移植: 支持公有云，私有云，混合云，多重云（multi-cloud）<br /> - 可扩展: 模块化，插件化，可挂载，可组合 <br /> - 自动化: 自动部署，自动重启，自动复制，自动伸缩/扩展"
Infrastructue as Code (IaC),同行试点,技术,FALSE,"<p>基础设施即代码（IaC）是通过代码而非手动流程来管理和置备基础设施的方法。利用 IaC 我们可以创建包含基础设施规范的配置文件，从而便于编辑和分发配置。此外，它还可确保每次置备的环境都完全相同。通过对配置规范进行整理和记录，IaC 有助于实现配置管理，并避免发生未记录的临时配置更改。借助 IaC 实现基础架构置备的自动化，意味着开发人员无需再在每次开发或部署应用时手动置备和管理服务器、操作系统、存储及其他基础架构组件。</p>
服务器自动化和配置管理工具通常可以用来实现 IaC。一些常见的方案如下：<br /> - Chef <br /> - Puppet <br /> - 红帽 Ansible 自动化平台 <br /> - Terraform <br /> - AWS CloudFormation"
Mesos,同行试点,技术,FALSE,"<p>Mesos是Apache下的开源分布式资源管理框架，它被称为是分布式系统的内核。Mesos最初是由加州大学伯克利分校的AMPLab开发的，后在Twitter得到广泛使用。</p>
<p>Mesos项目可以很容易地实现分布式应用的自动化调度。同时，Mesos自身也很高的结合和主持了Docker等相关容器技术，基于Mesos已有的大量应用框架，可以实现用户应用的快速上线。Mesos可以将整个数据中心的资源（包括CPU、内存、存储、网络等）进行抽象和调度，多个应用同时运行在集群中分享资源，并无需关心资源的分布情况。</p>如果把数据中心中的集群资源看做一台服务器，那么Mesos要做的事情，其实就是操作系统内核的职责：抽象资源+调度任务。"
微服务,同行试点,技术,TRUE,<p>微服务是一种软件开发技术- 面向服务的体系结构（SOA）架构样式的一种变体，它提倡将单一应用程序划分成一组小的服务，服务之间互相协调、互相配合，为用户提供最终价值。每个服务运行在其独立的进程中，服务与服务间采用轻量级的通信机制互相沟通（通常是基于HTTP的RESTful API）。每个服务都围绕着具体业务进行构建，并且能够独立地部署到生产环境、类生产环境等。另外，应尽量避免统一的、集中式的服务管理机制，对具体的一个服务而言，应根据上下文，选择合适的语言、工具对其进行构建。<p/>
Serverless架构,行业萌芽,技术,TRUE,"<p>Serverless架构是一种云计算模型，其主要思想是让开发人员专注于编写代码和业务逻辑，而无需管理底层基础设施。在Serverless架构中，开发人员只需编写函数代码，然后将其上传到云服务商的Serverless平台中，平台将自动为其处理运行环境、负载均衡、自动缩放等基础设施管理问题。</p>
Serverless架构的优点包括：<br />
1. 节约成本：Serverless架构不需要开发人员自己购买、部署和管理服务器，可以大大降低成本。<br />
2. 弹性扩展：Serverless平台可以自动根据负载情况动态扩展或缩减实例数量，可以帮助开发人员应对高并发场景。<br />
3. 简化部署：Serverless平台可以自动为函数提供运行环境，无需手动配置和部署。<br />
4. 更高的可靠性：Serverless平台具备自动备份、自动修复等功能，可以提高应用程序的可靠性和可用性。<br />
5. 更快的开发速度：Serverless架构可以让开发人员专注于业务逻辑和代码编写，而无需关心底层基础设施，可以提高开发效率。"
边缘计算,行业萌芽,技术,TRUE,"<p>边缘计算是指将计算、存储和网络资源直接放置在接近数据源的边缘位置，以提高数据传输速度、减少延迟和网络拥塞，从而提高应用程序的性能和用户体验。在金融行业，边缘计算可以应用于多个方面，以下是一些示例：</p>
<br /> 1. 提供更快的交易响应时间：在高频交易领域，响应时间是至关重要的。使用边缘计算技术可以在交易所和客户端之间实现低延迟，以提高交易速度和执行能力。 <br /> 2. 数据分析和风险管理：边缘计算可以帮助金融机构更快地处理大量数据，并将数据分析推向数据源，从而提高数据分析的准确性和效率，减少延迟和网络拥塞，加强风险管理。 <br /> 3. ATM网络：边缘计算可以帮助银行更好地管理其ATM网络，提高ATM的可用性和响应时间，降低故障率。 <br /> 4. 安全防御：使用边缘计算可以将网络安全控制推向网络边缘，为金融机构提供更好的安全防御能力，识别和阻止网络攻击。"
Linkerd,行业萌芽,平台,TRUE,"<p>Linkerd是一款开源的服务网格平台，旨在提供一种轻量级、可观察的、可靠的微服务架构解决方案。它基于Envoy代理和Rust编写的控制平面构建，提供了一系列的特性，如可观测性、安全性、流量控制、故障注入和自适应路由等。</p>
Linkerd的主要特点包括：<br />
1. 零配置：Linkerd是一种零配置服务网格，可以无缝地与Kubernetes集群进行集成，对于开发者来说非常友好。<br />
2. 可观察性：Linkerd提供了丰富的监控和追踪功能，可以实时地监控服务的性能指标，帮助开发者快速定位和解决问题。<br />
3. 安全性：Linkerd支持基于TLS的加密通信，可以保障服务之间的安全通信，并提供了多种身份认证和授权机制。<br />
4. 流量控制：Linkerd支持流量控制和负载均衡，可以确保服务之间的流量分配和负载均衡。<br />
5. 故障注入：Linkerd支持故障注入和故障测试，可以帮助开发者测试系统的鲁棒性和可靠性。<br /><br />
Linkerd的主要应用场景包括：<br />
1. 微服务架构：Linkerd是一款专为微服务架构设计的服务网格平台，可以帮助开发者构建可观测的、可靠的微服务架构。<br />
2. 多云环境管理：Linkerd可以无缝地集成到Kubernetes集群中，支持多云环境管理，可以帮助开发者更好地管理多云环境。<br />
3. 安全通信：Linkerd支持基于TLS的加密通信，可以保障服务之间的安全通信，适用于安全性要求较高的应用场景。"
KubeSphere,同行试点,平台,TRUE,<p>KubeSphere 是在 Kubernetes 之上构建的以应用为中心的多租户容器平台，提供全栈的 IT 自动化运维的能力，简化企业的 DevOps 工作流。KubeSphere 提供了运维友好的向导式操作界面，帮助企业快速构建一个强大和功能丰富的容器云平台。</p>
